Day,Start Hour,Impressions
Sunday,12 am,"1,049"
Sunday,1 am,"1,171"
Sunday,2 am,854
Sunday,3 am,649
Sunday,4 am,410
Sunday,5 am,253
Sunday,6 am,210
Sunday,7 am,192
Sunday,8 am,336
Sunday,9 am,583
Sunday,10 am,"1,079"
Sunday,11 am,"1,724"
Sunday,12 pm,"2,210"
Sunday,1 pm,"2,327"
Sunday,2 pm,"1,999"
Sunday,3 pm,"1,719"
Sunday,4 pm,916
Sunday,5 pm,769
Sunday,6 pm,393
Sunday,7 pm,277
Sunday,8 pm,250
Sunday,9 pm,296
Sunday,10 pm,393
Sunday,11 pm,588
Monday,12 am,"1,533"
Monday,1 am,"1,068"
Monday,2 am,690
Monday,3 am,439
Monday,4 am,310
Monday,5 am,180
Monday,6 am,185
Monday,7 am,173
Monday,8 am,266
Monday,9 am,254
Monday,10 am,131
Monday,11 am,173
Monday,12 pm,284
Monday,1 pm,374
Monday,2 pm,596
Monday,3 pm,392
Monday,4 pm,433
Monday,5 pm,"1,131"
Monday,6 pm,519
Monday,7 pm,321
Monday,8 pm,545
Monday,9 pm,478
Monday,10 pm,519
Monday,11 pm,"1,047"
Tuesday,12 am,729
Tuesday,1 am,509
Tuesday,2 am,199
Tuesday,3 am,193
Tuesday,4 am,126
Tuesday,5 am,83
Tuesday,6 am,"1,722"
Tuesday,7 am,"4,079"
Tuesday,8 am,"1,240"
Tuesday,9 am,"1,514"
Tuesday,10 am,"1,599"
Tuesday,11 am,"1,272"
Tuesday,12 pm,"1,524"
Tuesday,1 pm,884
Tuesday,2 pm,"1,060"
Tuesday,3 pm,"1,238"
Tuesday,4 pm,"1,628"
Tuesday,5 pm,"1,914"
Tuesday,6 pm,"2,190"
Tuesday,7 pm,"1,103"
Tuesday,8 pm,"1,353"
Tuesday,9 pm,"6,420"
Tuesday,10 pm,"6,895"
Tuesday,11 pm,"2,660"
Wednesday,12 am,"4,334"
Wednesday,1 am,"2,246"
Wednesday,2 am,"1,083"
Wednesday,3 am,867
Wednesday,4 am,599
Wednesday,5 am,511
Wednesday,6 am,677
Wednesday,7 am,867
Wednesday,8 am,556
Wednesday,9 am,735
Wednesday,10 am,900
Wednesday,11 am,"1,155"
Wednesday,12 pm,"1,313"
Wednesday,1 pm,922
Wednesday,2 pm,"2,670"
Wednesday,3 pm,"3,772"
Wednesday,4 pm,"1,112"
Wednesday,5 pm,203
Wednesday,6 pm,146
Wednesday,7 pm,178
Wednesday,8 pm,200
Wednesday,9 pm,178
Wednesday,10 pm,110
Wednesday,11 pm,156
Thursday,12 am,"4,548"
Thursday,1 am,"2,913"
Thursday,2 am,992
Thursday,3 am,724
Thursday,4 am,644
Thursday,5 am,488
Thursday,6 am,606
Thursday,7 am,705
Thursday,8 am,743
Thursday,9 am,716
Thursday,10 am,747
Thursday,11 am,794
Thursday,12 pm,791
Thursday,1 pm,694
Thursday,2 pm,833
Thursday,3 pm,"1,208"
Thursday,4 pm,"1,574"
Thursday,5 pm,"1,001"
Thursday,6 pm,580
Thursday,7 pm,389
Thursday,8 pm,289
Thursday,9 pm,292
Thursday,10 pm,250
Thursday,11 pm,494
Friday,12 am,"1,020"
Friday,1 am,737
Friday,2 am,579
Friday,3 am,920
Friday,4 am,745
Friday,5 am,502
Friday,6 am,566
Friday,7 am,673
Friday,8 am,"1,001"
Friday,9 am,"1,014"
Friday,10 am,584
Friday,11 am,606
Friday,12 pm,986
Friday,1 pm,962
Friday,2 pm,882
Friday,3 pm,772
Friday,4 pm,"1,050"
Friday,5 pm,"1,187"
Friday,6 pm,"1,123"
Friday,7 pm,960
Friday,8 pm,"1,141"
Friday,9 pm,"1,195"
Friday,10 pm,"1,182"
Friday,11 pm,"1,517"
Saturday,12 am,"1,453"
Saturday,1 am,"1,385"
Saturday,2 am,904
Saturday,3 am,732
Saturday,4 am,671
Saturday,5 am,493
Saturday,6 am,496
Saturday,7 am,523
Saturday,8 am,935
Saturday,9 am,"1,219"
Saturday,10 am,"1,483"
Saturday,11 am,"1,463"
Saturday,12 pm,"1,598"
Saturday,1 pm,"1,224"
Saturday,2 pm,711
Saturday,3 pm,649
Saturday,4 pm,618
Saturday,5 pm,738
Saturday,6 pm,"1,490"
Saturday,7 pm,"1,991"
Saturday,8 pm,"1,436"
Saturday,9 pm,884
Saturday,10 pm,642
Saturday,11 pm,667
