Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,CTR
diamond engagement rings,Phrase match,Enabled,Enabled,Enabled,$227.26,121,8.57%
all diamonds elsternwick,Exact match,Enabled,Enabled,Enabled,$131.86,16,17.39%
all diamonds,Exact match,Enabled,Enabled,Enabled,$101.15,18,18.75%
all diamonds melbourne,Exact match,Enabled,Enabled,Enabled,$70.19,14,28.00%
unique engagement rings,Phrase match,Enabled,Enabled,Enabled,$61.30,35,8.68%
all diamonds,Broad match,Removed,Enabled,Enabled,$37.66,46,19.49%
all diamonds,Phrase match,Paused,Enabled,Enabled,$14.65,6,9.23%
design engagement ring,Phrase match,Enabled,Enabled,Enabled,$11.76,7,12.50%
alldiamonds,Exact match,Enabled,Enabled,Enabled,$8.16,2,20.00%
alldiamonds,Broad match,Removed,Enabled,Enabled,$5.95,2,33.33%
custom engagement rings,Phrase match,Enabled,Enabled,Enabled,$5.71,3,13.64%
halo engagement rings,Phrase match,Enabled,Enabled,Enabled,$5.05,3,8.57%
real diamond engagement rings,Exact match,Enabled,Enabled,Enabled,$4.99,3,18.75%
engagement rings melbourne,Phrase match,Enabled,Enabled,Enabled,$4.99,3,30.00%
engagement rings princess cut,Phrase match,Enabled,Enabled,Enabled,$3.73,2,5.41%
solitaire engagement ring,Phrase match,Enabled,Enabled,Enabled,$3.36,2,2.78%
custom made engagement rings,Exact match,Enabled,Enabled,Enabled,$1.87,1,100.00%
diamond wedding rings,Phrase match,Enabled,Enabled,Enabled,$0.00,0,0.00%
diamond wedding band,Phrase match,Enabled,Enabled,Enabled,$0.00,0,0.00%
mens diamond wedding bands,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
diamond wedding rings for women,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
diamond wedding bands for women,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
mens diamond wedding ring,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
oval diamond engagement ring,Phrase match,Enabled,Enabled,Enabled,$0.00,0,0.00%
solitaire diamond engagement ring,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
round engagement rings,Phrase match,Enabled,Enabled,Enabled,$0.00,0,0.00%
round cut engagement rings,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
lab created diamond engagement rings,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
lab grown diamond engagement rings,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
lab diamond engagement ring,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
