Search,Cost,Clicks,Impressions,Conversions
all diamonds,$134.62,54,291,0.00
all diamonds elsternwick,$137.26,18,101,0.00
all diamonds melbourne,$68.96,17,77,0.00
michael hill engagement rings,$9.91,6,50,0.00
3 carat diamond ring,$6.87,4,30,0.00
2 carat diamond ring,$6.51,3,22,0.00
darry ring australia,$7.20,4,18,0.00
solitaire diamond ring,$2.56,1,17,0.00
alldiamonds,$14.11,4,16,0.00
diamond engagement rings,$7.44,4,16,0.00
solitaire ring,$3.89,2,15,0.00
cartier engagement ring,$1.67,1,14,0.00
5 carat diamond ring,$0.00,0,12,0.00
harry winston ring,$1.93,1,11,0.00
4 carat diamond ring,$1.70,1,10,0.00
engagement rings michael hill,$1.45,1,10,0.00
1 carat diamond ring,$0.00,0,9,0.00
engagement rings melbourne,$3.31,2,9,0.00
natural diamond engagement rings,$1.60,1,9,0.00
real diamond engagement rings,$1.90,1,9,0.00
princess cut diamond ring,$0.00,0,8,0.00
1.5 carat diamond ring,$0.00,0,7,0.00
darry ring price,$3.80,2,7,0.00
michael hill engagement ring,$0.00,0,7,0.00
2 carat diamond ring price australia,$1.34,1,6,0.00
2 carat natural diamond ring,$0.00,0,6,0.00
3ct diamond ring,$0.00,0,6,0.00
charles rose engagement ring,$1.54,1,6,0.00
engagement ring designs,$0.00,0,6,0.00
engagement ring michael hill,$0.00,0,6,0.00
engagement ring styles,$0.00,0,6,0.00
harry winston engagement ring,$2.45,1,6,0.00
marquise diamond,$0.00,0,6,0.00
opal engagement ring,$0.00,0,6,0.00
proposal ring,$1.98,1,6,0.00
3 carat diamond ring price australia,$0.00,0,5,0.00
antique engagement rings melbourne,$0.00,0,5,0.00
bevilles engagement rings,$3.30,2,5,0.00
diamond engagement ring,$0.00,0,5,0.00
diamond wedding band,$0.00,0,5,0.00
emerald cut diamond ring,$0.00,0,5,0.00
emerald cut diamond ring michael hill,$0.00,0,5,0.00
engagement diamond ring,$1.49,1,5,0.00
pearl engagement ring,$0.00,0,5,0.00
pink diamond engagement ring,$0.00,0,5,0.00
unusual engagement rings,$5.72,3,5,0.00
2ct diamond ring,$0.00,0,4,0.00
3 carat diamond ring price,$0.00,0,4,0.00
3k diamond ring,$0.00,0,4,0.00
all diamonds ring,$0.00,0,4,0.00
art deco cluster ring,$0.00,0,4,0.00
diamond wedding ring,$1.52,1,4,0.00
elsternwick jewellers,$0.00,0,4,0.00
engagement ring price,$0.00,0,4,0.00
kindred lubeck,$0.00,0,4,0.00
marquise diamond ring,$0.00,0,4,0.00
oval diamond ring,$0.00,0,4,0.00
oval engagement rings,$0.00,0,4,0.00
peyton engagement ring,$0.00,0,4,0.00
women's 5 carat diamond ring,$0.00,0,4,0.00
10 000 engagement ring,$0.00,0,3,0.00
1ct diamond ring,$0.00,0,3,0.00
2.5 carat diamond ring,$2.34,1,3,0.00
2kt diamond ring,$1.64,1,3,0.00
3 carat diamond ring natural,$0.00,0,3,0.00
5 carat diamond ring price,$1.62,1,3,0.00
5ct diamond ring,$0.00,0,3,0.00
6 carat diamond ring price,$2.55,1,3,0.00
all diamonds melbourne riddell parade elsternwick vic,$0.00,0,3,0.00
alternative engagement rings,$1.80,1,3,0.00
angus and coote engagement rings,$0.00,0,3,0.00
anton engagement ring,$0.00,0,3,0.00
bevilles engagement ring,$1.79,1,3,0.00
diamond ring 2 carat price,$0.00,0,3,0.00
different engagement rings,$0.00,0,3,0.00
east west marquise ring,$0.00,0,3,0.00
emerald cut ring,$0.00,0,3,0.00
engagement ring ideas,$0.00,0,3,0.00
engagement rings diamond,$1.83,1,3,0.00
grey diamond ring,$0.00,0,3,0.00
half carat diamond ring,$0.00,0,3,0.00
harry winston rings,$0.00,0,3,0.00
hexagon engagement ring,$0.00,0,3,0.00
lab grown diamond rings,$0.00,0,3,0.00
lab grown diamond rings australia,$0.00,0,3,0.00
michael hill marquise ring,$0.00,0,3,0.00
moss agate engagement ring,$0.00,0,3,0.00
natural diamond engagement ring,$0.00,0,3,0.00
non traditional engagement rings,$0.00,0,3,0.00
paul bram melbourne,$0.00,0,3,0.00
pink sapphire engagement ring,$0.00,0,3,0.00
portrait cut engagement ring,$0.00,0,3,0.00
proposal rings,$0.00,0,3,0.00
sarah and sebastian engagement rings,$0.00,0,3,0.00
solitaire engagement ring,$0.00,0,3,0.00
tear drop ring,$0.00,0,3,0.00
toi et moi,$0.00,0,3,0.00
trilogy marquise ring,$1.70,1,3,0.00
vintage engagement rings,$0.00,0,3,0.00
vintage style engagement rings,$0.00,0,3,0.00
